facility_name,facility_id,npi,city_town,state,zip_code,year,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_20_sample,asc_20_rate,asc_20_footnote
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,98.59,,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
PACIFIC HEIGHTS SURGERY CENTER LP,05C0001661,1003965328,SAN FRANCISCO,CA,94115,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,53,94.2,
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2022,83.12,,NA,5,368,No Different Than the National Rate,11.1,8.1,15.5,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,20,85,
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2022,NA,5,100,,NA,NA,NA,NA,NA,5,100,,0.6,,72,No Different Than the National Rate,1.9,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,77,84.3,
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,2022,NA,5,100,,NA,NA,NA,NA,NA,5,100,,0.6,,72,No Different Than the National Rate,1.9,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,77,84.3,
TRACY SURGERY CENTER,05C0001859,1013104389,TRACY,CA,95377,2022,100,,100,,202,No Different Than the National Rate,10.5,7.6,14.6,,100,,0,,NA,Number of Cases Too Small,NA,NA,NA,1,49,No Different Than the National Rate,5,3.1,7.8,,NA,NA,5
TRACY SURGERY CENTER,05C0001859,1013104389,TRACY,CA,95377,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,20,100,
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,2022,NA,5,NA,5,39,No Different Than the National Rate,10.4,7.4,14.8,,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
VENTANA SURGICAL CENTER LLC,05C0002196,1013438563,ADDISON,CA,91356,2022,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,5,NA,5,71,No Different Than the National Rate,2.1,1.3,3.2,,33,No Different Than the National Rate,4.7,2.8,7.6,,NA,NA,5
VENTANA SURGICAL CENTER LLC,05C0002196,1013438563,ADDISON,CA,91356,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CAMARILLO ENDOSCOPY CENTER LLC,05C0002164,1013463991,CAMARILLO,CA,93012,2022,NA,5,NA,5,772,No Different Than the National Rate,10.8,8,14.6,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CAMARILLO ENDOSCOPY CENTER LLC,05C0002164,1013463991,CAMARILLO,CA,93012,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,2022,100,,NA,5,148,No Different Than the National Rate,10.3,7.5,14.5,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,13,84.6,
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,2022,NA,5,NA,5,223,No Different Than the National Rate,10.3,7.3,14.4,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
THOSAND OAKS SURGERY CENTER,05C0001921,1023159860,THOUSAND OAKS,CA,91320,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,92.59,,NA,5,36,No Different Than the National Rate,2,1.3,3.2,,NA,NA,NA,NA,NA,5,NA,NA,5
THOSAND OAKS SURGERY CENTER,05C0001921,1023159860,THOUSAND OAKS,CA,91320,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,43,100,
SANTA BARBARA SURGERY CENTER,05C0001529,1023191822,SANTA BARBARA,CA,93105,2022,NA,5,NA,5,51,No Different Than the National Rate,10.4,7.4,14.6,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SANTA BARBARA SURGERY CENTER,05C0001529,1023191822,SANTA BARBARA,CA,93105,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,68,100,
ADVANCED MULTISPECIALTY SURGERY CENTER,05C0002009,1023391141,BEVERLY HILLS,CA,90211,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
ADVANCED MULTISPECIALTY SURGERY CENTER,05C0002009,1023391141,BEVERLY HILLS,CA,90211,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
PREMIER OUTPATIENT SURGERY CENTER INC,05C0001516,1033114764,COLTON,CA,92324,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
PREMIER OUTPATIENT SURGERY CENTER INC,05C0001516,1033114764,COLTON,CA,92324,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,35,83,
LA VETA SURGICAL CENTER,05C0001178,1033177373,ORANGE,CA,92868,2022,79.19,,NA,5,876,No Different Than the National Rate,11.1,8.3,14.8,,96.36,,0,,188,No Different Than the National Rate,2,1.3,2.9,,123,No Different Than the National Rate,5.5,3.6,8.1,,NA,NA,5
LA VETA SURGICAL CENTER,05C0001178,1033177373,ORANGE,CA,92868,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,123,83.2,
EMPIRE SURGERY CENTER,05C0001478,1033222989,BAKERSFIELD,CA,93301,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.37,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
EMPIRE SURGERY CENTER,05C0001478,1033222989,BAKERSFIELD,CA,93301,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,14,100,
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0001566,1033229323,SANTA MONICA,CA,90404,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0001566,1033229323,SANTA MONICA,CA,90404,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0002275,1033229323,SANTA MONICA,CA,90404,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
COSMETIC SURGERY CENTER OF SANTA MONICA,05C0002275,1033229323,SANTA MONICA,CA,90404,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TEMECULA VALLEY DAY SURGERY CENTER,05C0001225,1033282173,MURRIETA,CA,92562,2022,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,100,,0.05,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
TEMECULA VALLEY DAY SURGERY CENTER,05C0001225,1033282173,MURRIETA,CA,92562,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,33,78.8,
WILSHIRE CENTER FOR AMBULATORY SURGERY INC,05C0001866,1033309406,LOS ANGELES,CA,90017,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
WILSHIRE CENTER FOR AMBULATORY SURGERY INC,05C0001866,1033309406,LOS ANGELES,CA,90017,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,9,NA,1
ENDOSCOPY SURGERY CENTER OF SILICON VALLEY LLC,05C0001541,1033448782,SAN JOSE,CA,95124,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
ENDOSCOPY SURGERY CENTER OF SILICON VALLEY LLC,05C0001541,1033448782,SAN JOSE,CA,95124,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,76,87.7,
SUTTER AMADOR SURGERY CENTER LLC,05C0001640,1033453311,JACKSON,CA,95642,2022,88.89,,NA,5,205,No Different Than the National Rate,11.3,8.1,15.8,,100,,0,,38,No Different Than the National Rate,2,1.3,3.2,,NA,NA,NA,NA,NA,5,NA,NA,5
SUTTER AMADOR SURGERY CENTER LLC,05C0001640,1033453311,JACKSON,CA,95642,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,37,97.3,
SURGERY CENTER OF LONG BEACH,05C0001512,1043217615,LONG BEACH,CA,90806,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,93.03,,0,,124,No Different Than the National Rate,1.9,1.2,2.9,,NA,NA,NA,NA,NA,5,NA,NA,5
SURGERY CENTER OF LONG BEACH,05C0001512,1043217615,LONG BEACH,CA,90806,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,61,95.1,
SIERRA AMBULATORY SURGERY CENTER,05C0001760,1043254063,GRASS VALLEY,CA,95945,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.26,,42,No Different Than the National Rate,2,1.3,3.1,,NA,NA,NA,NA,NA,5,NA,NA,5
SIERRA AMBULATORY SURGERY CENTER,05C0001760,1043254063,GRASS VALLEY,CA,95945,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,24,67.1,
PREMIERE SURGERY CENTER INC,05C0001138,1043268840,ESCONDIDO,CA,92026,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.77,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
PREMIERE SURGERY CENTER INC,05C0001138,1043268840,ESCONDIDO,CA,92026,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,13,69.2,
FOREST AMBULATORY SURGICAL ASSOCIATES LLC DBA FOREST ABULATORY SURGERY CENTER,05C0001066,1043275183,SAN JOSE,CA,95128,2022,NA,5,NA,5,456,No Different Than the National Rate,11.2,8.2,15.4,,97.46,,NA,5,212,No Different Than the National Rate,2.3,1.6,3.5,,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
FOREST AMBULATORY SURGICAL ASSOCIATES LLC DBA FOREST ABULATORY SURGERY CENTER,05C0001066,1043275183,SAN JOSE,CA,95128,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,80,56.4,
HOSPITAL DRIVE SURGERY CENTER LLC,05C0001549,1043426950,MOUNTAIN VIEW,CA,94040,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
HOSPITAL DRIVE SURGERY CENTER LLC,05C0001549,1043426950,MOUNTAIN VIEW,CA,94040,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LAKEWOOD EYE PHYSICIANS AND SURGEONS,55C0001044,1043473390,LONG BEACH,CA,90805,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,0.7,,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LAKEWOOD EYE PHYSICIANS AND SURGEONS,55C0001044,1043473390,LONG BEACH,CA,90805,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,21,100,
SURGERY CENTER OF SAN JOSE,05C0002045,1043654486,SAN JOSE,CA,95124,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,95,,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SURGERY CENTER OF SAN JOSE,05C0002045,1043654486,SAN JOSE,CA,95124,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,88,100,
LOS ALAMITOS SURGERY CENTER LP,05C0001615,1053328781,LOS ALAMITOS,CA,90720,2022,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LOS ALAMITOS SURGERY CENTER LP,05C0001615,1053328781,LOS ALAMITOS,CA,90720,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TRUCKEE SURGERY CENTER,05C0001621,1053352443,TRUCKEE,CA,96161,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
TRUCKEE SURGERY CENTER,05C0001621,1053352443,TRUCKEE,CA,96161,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,40,100,
ENDOSCOPY CENTER OF THE SOUTH BAY,05C0001211,1053391169,TORRANCE,CA,90505,2022,57.97,,NA,5,2124,No Different Than the National Rate,9.1,7,12.1,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
ENDOSCOPY CENTER OF THE SOUTH BAY,05C0001211,1053391169,TORRANCE,CA,90505,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,32,100,
HEMET ENDOSCOPY,05C0001244,1053412189,HEMET,CA,92543,2022,89.86,,NA,5,295,No Different Than the National Rate,10.4,7.5,14.6,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
HEMET ENDOSCOPY,05C0001244,1053412189,HEMET,CA,92543,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,15,73.3,
SPINE AND SPORTS SURGERY CENTER,05C0001851,1053440917,CAMPBELL,CA,95008,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
SPINE AND SPORTS SURGERY CENTER,05C0001851,1053440917,CAMPBELL,CA,95008,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,24,95.8,
MOUNTAIN VIEW SURGICAL CENTER INC,05C0001362,1053461624,ENCINO,CA,91436,2022,NA,5,NA,5,35,No Different Than the National Rate,10.8,7.6,15,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
MOUNTAIN VIEW SURGICAL CENTER INC,05C0001362,1053461624,ENCINO,CA,91436,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
EAST BAY ENDOSURGERY,05C0001641,1053496240,OAKLAND,CA,94612,2022,89.13,,NA,5,2786,No Different Than the National Rate,9.3,7.2,12.1,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
EAST BAY ENDOSURGERY,05C0001641,1053496240,OAKLAND,CA,94612,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,38,100,
SOUTH COAST OUTPATIENT SURGERY CENTER,05C0001929,1053545905,CORONA DEL MAR,CA,92625,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
SOUTH COAST OUTPATIENT SURGERY CENTER,05C0001929,1053545905,CORONA DEL MAR,CA,92625,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
VIP SURGICARE LLC,05C0002031,1053612853,LOS GATOS,CA,95032,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,39,No Different Than the National Rate,2.1,1.3,3.2,,NA,NA,NA,NA,NA,5,NA,NA,5
VIP SURGICARE LLC,05C0002031,1053612853,LOS GATOS,CA,95032,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,30,96.6,
SAN ANTONIO AMBULATORY SURGICAL CENTER INC,05C0001489,1063422962,UPLAND,CA,91786,2022,92.71,,NA,5,414,No Different Than the National Rate,10.7,7.8,14.7,,100,,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,5
SAN ANTONIO AMBULATORY SURGICAL CENTER INC,05C0001489,1063422962,UPLAND,CA,91786,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,91,93.8,
CAMPUS SURGERY CENTER LLC,05C0001189,1063427557,DALY CITY,CA,94015,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,0.96,,63,No Different Than the National Rate,2.2,1.4,3.4,,NA,NA,NA,NA,NA,5,NA,NA,5
CAMPUS SURGERY CENTER LLC,05C0001189,1063427557,DALY CITY,CA,94015,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,62,100,
TEMPLETON SURGERY CENTER LLC,05C0001785,1063453561,TEMPLETON,CA,93465,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,133,No Different Than the National Rate,2.2,1.5,3.3,,84,No Different Than the National Rate,6.1,4.1,9.1,,NA,NA,5
TEMPLETON SURGERY CENTER LLC,05C0001785,1063453561,TEMPLETON,CA,93465,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
LOMA LINDA AMBULATORY SURGICAL CENTER,55C0001035,1063692283,LOMA LINDA,CA,92354,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
LOMA LINDA AMBULATORY SURGICAL CENTER,55C0001035,1063692283,LOMA LINDA,CA,92354,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
MAGNOLIA SURGERY CENTER LLC,05C0002129,1063887875,EL CAJON,CA,92020,2022,NA,5,NA,5,135,No Different Than the National Rate,10.2,7.3,14.1,,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
MAGNOLIA SURGERY CENTER LLC,05C0002129,1063887875,EL CAJON,CA,92020,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
CENTRAL VALLEY SURGICAL CENTER,05C0002251,1073094660,BAKERSFIELD,CA,93301,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
