facility_name,facility_id,state,period,claim_type,avg_spndg_per_ep_hospital,avg_spndg_per_ep_state,avg_spndg_per_ep_national,percent_of_spndg_hospital,percent_of_spndg_state,percent_of_spndg_national,start_date,end_date
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,723,874,920,2.99,3.46,3.78,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,3823,3854,3345,15.79,15.27,13.73,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,51,116,112,0.21,0.46,0.46,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,1238,1421,1335,5.11,5.63,5.48,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,Complete Episode,Total,24205,25229,24355,100,100,100,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,21,16,13,0.09,0.06,0.05,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,20,6,8,0.08,0.02,0.03,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,334,115,187,1.37,0.46,0.77,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,3,8,6,0.01,0.03,0.02,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,2,10,9,0.01,0.04,0.04,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,1013,696,699,4.15,2.76,2.87,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Inpatient,10870,12143,11712,44.5,48.13,48.09,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Durable Medical Equipment,14,21,23,0.06,0.09,0.09,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,During Index Hospital Admission,Carrier,1683,1729,1577,6.89,6.85,6.48,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,1156,817,748,4.73,3.24,3.07,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,168,195,181,0.69,0.77,0.74,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,3504,3208,3479,14.35,12.72,14.28,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,682,874,920,2.79,3.46,3.78,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,3729,3854,3345,15.27,15.27,13.73,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,39,116,112,0.16,0.46,0.46,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,1186,1421,1335,4.86,5.63,5.48,2021-01-01,2021-12-31
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,Complete Episode,Total,24426,25229,24355,100,100,100,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,17,16,13,0.07,0.06,0.05,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,1,1,1,0,0,0,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,0,6,8,0,0.02,0.03,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,275,115,187,1.13,0.46,0.77,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,20,8,6,0.08,0.03,0.02,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,8,10,9,0.03,0.04,0.04,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,1049,696,699,4.32,2.76,2.87,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Inpatient,11381,12143,11712,46.85,48.13,48.09,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Durable Medical Equipment,13,21,23,0.06,0.09,0.09,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,During Index Hospital Admission,Carrier,1299,1729,1577,5.35,6.85,6.48,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,675,817,748,2.78,3.24,3.07,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,287,195,181,1.18,0.77,0.74,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,3430,3208,3479,14.12,12.72,14.28,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,1177,874,920,4.85,3.46,3.78,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,3378,3854,3345,13.9,15.27,13.73,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,116,116,112,0.48,0.46,0.46,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,1167,1421,1335,4.8,5.63,5.48,2021-01-01,2021-12-31
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,Complete Episode,Total,24292,25229,24355,100,100,100,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,0,16,13,0,0.06,0.05,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,52,6,8,0.19,0.02,0.03,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,940,115,187,3.37,0.46,0.77,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,1,8,6,0,0.03,0.02,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,5,10,9,0.02,0.04,0.04,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,1693,696,699,6.07,2.76,2.87,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Inpatient,16026,12143,11712,57.5,48.13,48.09,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Durable Medical Equipment,15,21,23,0.05,0.09,0.09,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,During Index Hospital Admission,Carrier,1829,1729,1577,6.56,6.85,6.48,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,527,817,748,1.89,3.24,3.07,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,108,195,181,0.39,0.77,0.74,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,1879,3208,3479,6.74,12.72,14.28,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,1424,874,920,5.11,3.46,3.78,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,2390,3854,3345,8.58,15.27,13.73,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,64,116,112,0.23,0.46,0.46,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,919,1421,1335,3.3,5.63,5.48,2021-01-01,2021-12-31
ADVENTIST HEALTH ST HELENA,050013,CA,Complete Episode,Total,27871,25229,24355,100,100,100,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,20,16,13,0.1,0.06,0.05,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,11,6,8,0.05,0.02,0.03,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,47,115,187,0.23,0.46,0.77,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,2,8,6,0.01,0.03,0.02,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,6,10,9,0.03,0.04,0.04,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,605,696,699,2.9,2.76,2.87,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Inpatient,10002,12143,11712,47.98,48.13,48.09,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Durable Medical Equipment,18,21,23,0.09,0.09,0.09,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,During Index Hospital Admission,Carrier,1113,1729,1577,5.34,6.85,6.48,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,1056,817,748,5.07,3.24,3.07,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,130,195,181,0.62,0.77,0.74,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,1743,3208,3479,8.36,12.72,14.28,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,714,874,920,3.43,3.46,3.78,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,4264,3854,3345,20.46,15.27,13.73,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,95,116,112,0.46,0.46,0.46,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,1017,1421,1335,4.88,5.63,5.48,2021-01-01,2021-12-31
SUTTER AMADOR HOSPITAL,050014,CA,Complete Episode,Total,20845,25229,24355,100,100,100,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,13,16,13,0.05,0.06,0.05,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,21,6,8,0.08,0.02,0.03,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,340,115,187,1.27,0.46,0.77,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,10,8,6,0.04,0.03,0.02,2021-01-01,2021-12-31
MERCY GENERAL HOSPITAL,050017,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,9,10,9,0.03,0.04,0.04,2021-01-01,2021-12-31
