facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,measure_id,measure_name,score,sample,footnote,start_date,end_date
050024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,(619) 470-4321,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,(619) 470-4321,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 543-6222,PC_01,Elective Delivery,21,47,2,2022-01-01,2022-12-31
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 543-6222,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 543-6222,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,(619) 465-0711,PC_01,Elective Delivery,2,199,,2022-01-01,2022-12-31
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,(619) 465-0711,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,(619) 465-0711,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,PC_01,Elective Delivery,6,16,2,2022-01-01,2022-12-31
050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,PC_05,Exclusive Breast Milk Feeding,90,236,,2022-01-01,2022-12-31
050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,(707) 822-3621,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,(530) 533-8500,PC_01,Elective Delivery,4,25,,2022-01-01,2022-12-31
050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,(530) 533-8500,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,BUTTE,(530) 533-8500,SM_7,Maternal Morbidity Structural Measure,No,NA,,2022-01-01,2022-12-31
050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,(661) 327-1792,PC_01,Elective Delivery,3,74,2,2022-01-01,2022-12-31
050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,(661) 327-1792,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,(661) 327-1792,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,(408) 885-5000,PC_01,Elective Delivery,2,107,2,2022-01-01,2022-12-31
050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,(408) 885-5000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,(408) 885-5000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,PC_01,Elective Delivery,4,26,2,2022-01-01,2022-12-31
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,SM_7,Maternal Morbidity Structural Measure,NA,NA,5,2022-01-01,2022-12-31
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,PC_01,Elective Delivery,0,13,2,2022-01-01,2022-12-31
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,(818) 364-1555,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,(530) 529-8012,PC_01,Elective Delivery,4,27,2,2022-01-01,2022-12-31
050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,(530) 529-8012,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,(530) 529-8012,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,PC_01,Elective Delivery,NA,NA,7,2022-01-01,2022-12-31
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,(510) 655-4000,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,PC_01,Elective Delivery,13,131,,2022-01-01,2022-12-31
050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,(760) 339-7100,SM_7,Maternal Morbidity Structural Measure,No,NA,,2022-01-01,2022-12-31
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,PC_01,Elective Delivery,7,239,,2022-01-01,2022-12-31
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,PC_05,Exclusive Breast Milk Feeding,60,2299,,2022-01-01,2022-12-31
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,(415) 600-6000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,PC_01,Elective Delivery,18,40,,2022-01-01,2022-12-31
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 641-6562,PC_01,Elective Delivery,NA,NA,7,2022-01-01,2022-12-31
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 641-6562,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,(415) 641-6562,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5000,PC_01,Elective Delivery,1,77,2,2022-01-01,2022-12-31
050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,(661) 949-5000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,(559) 624-2000,PC_01,Elective Delivery,2,114,2,2022-01-01,2022-12-31
050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,(559) 624-2000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,(559) 624-2000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,PC_01,Elective Delivery,2,51,2,2022-01-01,2022-12-31
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,(818) 502-1900,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,(559) 459-6000,PC_01,Elective Delivery,0,58,2,2022-01-01,2022-12-31
050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,(559) 459-6000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,(559) 459-6000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,PC_01,Elective Delivery,8,403,2,2022-01-01,2022-12-31
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,(209) 847-3011,PC_01,Elective Delivery,NA,NA,5,2022-01-01,2022-12-31
050067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,(209) 847-3011,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050067,OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA,95361,STANISLAUS,(209) 847-3011,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,PC_01,Elective Delivery,2,482,,2022-01-01,2022-12-31
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,PC_01,Elective Delivery,NA,NA,7,2022-01-01,2022-12-31
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,PC_01,Elective Delivery,1,151,,2022-01-01,2022-12-31
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,PC_01,Elective Delivery,6,142,,2022-01-01,2022-12-31
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,PC_01,Elective Delivery,1,87,,2022-01-01,2022-12-31
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,PC_01,Elective Delivery,2,117,,2022-01-01,2022-12-31
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,PC_01,Elective Delivery,0,118,,2022-01-01,2022-12-31
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,PC_01,Elective Delivery,3,358,,2022-01-01,2022-12-31
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,PC_01,Elective Delivery,NA,NA,7,2022-01-01,2022-12-31
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,SM_7,Maternal Morbidity Structural Measure,NA,NA,,2022-01-01,2022-12-31
050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,(805) 988-2500,PC_01,Elective Delivery,0,30,2,2022-01-01,2022-12-31
050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,(805) 988-2500,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,(805) 988-2500,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,(209) 943-2000,PC_01,Elective Delivery,1,302,,2022-01-01,2022-12-31
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,(209) 943-2000,PC_05,Exclusive Breast Milk Feeding,NA,NA,5,2022-01-01,2022-12-31
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,(209) 943-2000,SM_7,Maternal Morbidity Structural Measure,Yes,NA,,2022-01-01,2022-12-31
