facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,footnote,start_date,end_date
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,163,12.2,9.6,15.5,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,27,3,1.4,5.9,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,74,8.7,5.8,13.1,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,288,10.3,7.9,13.2,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,288,20.3,16.9,24,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,126,14.4,10.6,19.1,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_03,Pressure ulcer rate,No Different Than the National Rate,3432,0.04,0,0.9,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,51,144.24,98.69,189.8,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,3970,0.15,0.01,0.3,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,4148,0.11,0,0.25,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,1118,2.75,1.45,4.05,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,442,0.94,0,1.95,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,426,3.97,0,9.26,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,1180,3.72,1.76,5.69,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,423,2.96,0.24,5.68,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,341,0.66,0,1.56,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,710,0.74,0,1.88,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,NA,0.74,0.44,1.05,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,170,2.6,1.5,4.4,,2019-04-01,2022-03-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,138,12.1,9.5,15.1,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,32,2.6,1.2,5.6,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,61,8.3,5.4,12.6,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,389,10.3,8.2,12.9,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,125,18.1,14,22.9,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,MORT_30_STK,Death rate for stroke patients,Better Than the National Rate,287,10.4,8.2,12.8,,2019-07-01,2022-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_03,Pressure ulcer rate,No Different Than the National Rate,3688,0.3,0,1.1,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,61,113.61,72.5,154.73,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,4434,0.18,0.04,0.33,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,4640,0.04,0,0.17,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,1333,2.5,1.22,3.79,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,721,0.57,0,1.51,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,720,5,0.67,9.34,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,1505,3.58,1.65,5.51,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,711,2.75,0.12,5.39,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,417,0.7,0,1.62,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,873,0.7,0,1.8,,2019-07-01,2021-06-30
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,NA,0.76,0.47,1.04,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,113,2.7,1.5,4.8,,2019-04-01,2022-03-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_AMI,Death rate for heart attack patients,Number of Cases Too Small,NA,NA,NA,NA,1,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_CABG,Death rate for CABG surgery patients,NA,NA,NA,NA,NA,5,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_COPD,Death rate for COPD patients,Number of Cases Too Small,NA,NA,NA,NA,1,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,52,12,8.3,17,,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,40,18.4,13,25.1,,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,194,13.6,10.7,17.1,,2019-07-01,2022-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_03,Pressure ulcer rate,No Different Than the National Rate,971,0.12,0,1.59,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,NA,NA,NA,NA,1,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1413,0.18,0.02,0.33,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,1458,0.06,0,0.21,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,366,2.4,0.97,3.82,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,216,0.88,0,2.06,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,208,7.06,0,15.5,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,388,3.19,0.84,5.55,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,202,3.67,0.35,7,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,74,0.78,0,1.75,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,158,0.98,0,2.29,,2019-07-01,2021-06-30
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,NA,0.9,0.5,1.31,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,40,3.3,1.8,5.7,,2019-04-01,2022-03-31
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,93,13.3,10.3,16.8,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,30,2.4,1.2,4.8,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,62,8.3,5.5,12.3,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,192,11.5,8.9,15,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,191,21.7,17.6,26.3,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,155,13.4,10.4,17,,2019-07-01,2022-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_03,Pressure ulcer rate,No Different Than the National Rate,2230,0.05,0,1.04,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,27,155.27,107.53,203.01,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,2996,0.19,0.04,0.34,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,3093,0.05,0,0.19,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,686,2.29,0.9,3.68,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,162,1.25,0.08,2.42,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,155,3.65,0,11.54,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,748,3.7,1.56,5.84,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,161,4.23,0.96,7.49,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,238,0.71,0,1.65,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,565,0.82,0,2.02,,2019-07-01,2021-06-30
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,NA,0.87,0.51,1.23,,2019-07-01,2021-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,118,3.1,1.9,5.2,,2019-04-01,2022-03-31
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,146,11.7,8.9,15.2,,2019-07-01,2022-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_CABG,Death rate for CABG surgery patients,No Different Than the National Rate,59,2.6,1.3,5.3,,2019-07-01,2022-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,25,7.8,4.8,12.4,,2019-07-01,2022-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,119,12.8,9.3,17.4,,2019-07-01,2022-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,52,17.9,13.1,24,,2019-07-01,2022-06-30
050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,28,14.5,9.7,21.2,,2019-07-01,2022-06-30
