facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,condition,measure_id,measure_name,score,sample,footnote,start_date,end_date
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Colonoscopy care,OP_29,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,NA,NA,5,2021-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Cataract surgery outcome,OP_31,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,NA,NA,5,2021-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NA,NA,"3, 7, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,13,716,,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Sepsis Care,SEP_1,Appropriate care for severe sepsis and septic shock,73,79,"2, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,85,13,"2, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,NA,NA,"1, 2, 3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,78,79,"2, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,94,32,"2, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,STK_02,Discharged on Antithrombotic Therapy,NA,NA,5,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,STK_03,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NA,NA,5,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,STK_05,Antithrombotic Therapy by End of Hospital Day 2,NA,NA,5,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,STK_06,Discharged on Statin Medication,NA,NA,5,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,VTE_1,Venous Thromboembolism Prophylaxis,62,1456,,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,Electronic Clinical Quality Measure,VTE_2,Intensive Care Unit Venous Thromboembolism Prophylaxis,87,490,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Emergency Department,EDV,Emergency department volume,medium,,,2021-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,ED_2_Strata_1,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,ED_2_Strata_2,Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,95,1674,,2022-10-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination,63,1864,,2022-10-01,2023-03-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,204,354,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,235,35,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NA,NA,"3, 7",2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Emergency Department,OP_22,Left before being seen,3,25439,,2021-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Emergency Department,OP_23,Head CT results,47,17,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Colonoscopy care,OP_29,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,65,112,,2021-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Cataract surgery outcome,OP_31,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,NA,NA,5,2021-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,21,1351,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Sepsis Care,SEP_1,Appropriate care for severe sepsis and septic shock,42,401,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,46,89,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,62,37,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,70,401,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,78,197,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,STK_02,Discharged on Antithrombotic Therapy,97,34,,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,STK_03,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,STK_05,Antithrombotic Therapy by End of Hospital Day 2,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,STK_06,Discharged on Statin Medication,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,VTE_1,Venous Thromboembolism Prophylaxis,NA,NA,5,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,Electronic Clinical Quality Measure,VTE_2,Intensive Care Unit Venous Thromboembolism Prophylaxis,93,436,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Emergency Department,EDV,Emergency department volume,high,,,2021-01-01,2021-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,ED_2_Strata_1,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,ED_2_Strata_2,Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,99,2544,,2022-10-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination,73,2850,,2022-10-01,2023-03-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,198,375,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,280,30,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NA,NA,"3, 7",2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Emergency Department,OP_22,Left before being seen,3,45097,,2021-01-01,2021-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Emergency Department,OP_23,Head CT results,NA,NA,1,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Colonoscopy care,OP_29,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,98,80,,2021-01-01,2021-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Cataract surgery outcome,OP_31,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,NA,NA,5,2021-01-01,2021-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,16,1868,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Sepsis Care,SEP_1,Appropriate care for severe sepsis and septic shock,78,214,2,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,79,66,2,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,88,42,2,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,89,215,2,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,96,141,2,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,STK_02,Discharged on Antithrombotic Therapy,98,215,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,STK_03,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,STK_05,Antithrombotic Therapy by End of Hospital Day 2,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,STK_06,Discharged on Statin Medication,96,205,,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,VTE_1,Venous Thromboembolism Prophylaxis,NA,NA,5,2022-01-01,2022-12-31
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,(650) 696-5400,Electronic Clinical Quality Measure,VTE_2,Intensive Care Unit Venous Thromboembolism Prophylaxis,97,908,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Emergency Department,EDV,Emergency department volume,low,,,2021-01-01,2021-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,ED_2_Strata_1,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,ED_2_Strata_2,Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders,NA,NA,5,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,98.2,5736,,2022-10-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination,87,1879,,2022-10-01,2023-03-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,188,355,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,200,42,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,NA,NA,7,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Emergency Department,OP_22,Left before being seen,2,11559,,2021-01-01,2021-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Emergency Department,OP_23,Head CT results,NA,NA,1,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Colonoscopy care,OP_29,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,NA,NA,5,2021-01-01,2021-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Cataract surgery outcome,OP_31,Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,NA,NA,5,2021-01-01,2021-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,NA,NA,"3, 7",2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,23,755,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Sepsis Care,SEP_1,Appropriate care for severe sepsis and septic shock,61,75,2,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,56,18,2,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,NA,NA,"1, 2, 3",2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,83,77,2,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,87,45,2,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,STK_02,Discharged on Antithrombotic Therapy,98,118,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,STK_03,Anticoagulation Therapy for Atrial Fibrillation/Flutter,NA,NA,5,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,STK_05,Antithrombotic Therapy by End of Hospital Day 2,NA,NA,5,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,STK_06,Discharged on Statin Medication,99,111,,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,VTE_1,Venous Thromboembolism Prophylaxis,NA,NA,5,2022-01-01,2022-12-31
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,(415) 600-6000,Electronic Clinical Quality Measure,VTE_2,Intensive Care Unit Venous Thromboembolism Prophylaxis,99,320,,2022-01-01,2022-12-31
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,Emergency Department,EDV,Emergency department volume,medium,,,2021-01-01,2021-12-31
