facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,95,4,1,97,91,7,2,95,85,13,2,94,84,14,2,93,,5776,1829,32,2022-04-01,2023-03-31
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,96,3,1,98,93,6,1,96,85,13,2,94,86,12,2,94,,2868,852,30,2022-04-01,2023-03-31
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,96,4,0,98,92,7,1,95,84,13,3,93,80,18,2,92,,5984,1712,29,2022-04-01,2023-03-31
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,96,3,1,98,91,8,1,95,83,14,3,93,82,15,3,92,,2693,833,31,2022-04-01,2023-03-31
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,96,3,1,97,88,9,3,92,82,14,4,92,79,17,4,91,,5440,1294,24,2022-04-01,2023-03-31
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,95,4,1,97,90,7,3,93,85,12,3,93,80,16,4,92,,1472,256,17,2022-04-01,2023-03-31
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,96,4,0,98,87,11,2,92,84,14,2,94,77,21,2,91,,986,291,30,2022-04-01,2023-03-31
050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,(858) 939-3400,96,4,0,98,91,7,2,95,89,9,2,95,88,10,2,95,,12842,3008,23,2022-04-01,2023-03-31
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,97,3,0,98,93,5,2,96,92,6,2,96,92,7,1,97,,2574,533,21,2022-04-01,2023-03-31
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,(209) 823-3111,94,5,1,96,84,12,4,90,76,19,5,90,70,26,4,88,,1821,426,23,2022-04-01,2023-03-31
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,(209) 944-5550,94,5,1,97,85,11,4,90,76,18,6,90,72,22,6,88,,3019,716,24,2022-04-01,2023-03-31
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,(707) 778-1111,96,3,1,98,91,8,1,95,84,12,4,93,81,16,3,92,,1496,448,30,2022-04-01,2023-03-31
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 375-2000,97,2,1,98,93,6,1,96,90,9,1,95,86,12,2,95,,2359,740,31,2022-04-01,2023-03-31
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,(323) 783-4011,96,3,1,98,92,6,2,95,87,11,2,94,84,13,3,93,,5415,1515,28,2022-04-01,2023-03-31
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 461-6007,97,3,0,98,92,6,2,95,89,9,2,95,85,12,3,93,,6988,1622,23,2022-04-01,2023-03-31
050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,9961 SIERRA AVE,FONTANA,CA,92335,SAN BERNARDINO,(909) 427-5500,95,4,1,97,93,6,1,96,89,10,1,95,86,12,2,94,,8770,2514,29,2022-04-01,2023-03-31
050167,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,(209) 468-6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050168,PROVIDENCE ST. JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,(714) 992-3000,96,4,0,98,87,10,3,92,89,9,2,95,86,11,3,94,,1683,443,26,2022-04-01,2023-03-31
050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,SONOMA,(707) 525-5300,96,4,0,98,89,9,2,93,81,16,3,93,82,15,3,93,,1777,453,26,2022-04-01,2023-03-31
050179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,STANISLAUS,(209) 667-4200,93,5,2,96,85,11,4,90,77,18,5,91,69,27,4,87,,2413,495,21,2022-04-01,2023-03-31
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,(925) 939-3000,94,5,1,97,85,10,5,90,83,14,3,93,83,16,1,94,,958,262,27,2022-04-01,2023-03-31
050195,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,ALAMEDA,(510) 797-1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,LOS ANGELES,(661) 382-5000,93,5,2,96,86,11,3,91,79,15,6,91,76,18,6,89,,1629,342,21,2022-04-01,2023-03-31
050211,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,CA,94501,ALAMEDA,(510) 522-3700,96,3,1,98,93,4,3,95,83,10,7,92,81,15,4,91,,894,141,16,2022-04-01,2023-03-31
050222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,SAN DIEGO,(619) 502-5800,97,3,0,98,91,7,2,95,91,8,1,96,91,8,1,97,,5151,1211,24,2022-04-01,2023-03-31
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,(949) 764-4624,98,2,0,99,90,8,2,94,91,8,1,96,92,7,1,97,,3586,1017,29,2022-04-01,2023-03-31
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,ORANGE,(714) 774-1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,LOS ANGELES,(909) 865-9500,95,4,1,97,87,10,3,92,86,11,3,94,85,12,3,94,,1950,434,23,2022-04-01,2023-03-31
050234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,SAN DIEGO,(619) 435-6251,98,2,0,99,92,6,2,95,91,7,2,96,90,8,2,96,,2396,713,30,2022-04-01,2023-03-31
050235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA STREET,BURBANK,CA,91505,LOS ANGELES,(818) 843-5111,97,3,0,98,90,7,3,94,85,13,2,94,85,13,2,94,,1807,339,19,2022-04-01,2023-03-31
050238,USC ARCADIA HOSPITAL,300 W HUNTINGTON DR,ARCADIA,CA,91006,LOS ANGELES,(626) 445-4441,94,5,1,96,88,9,3,92,77,19,4,91,77,20,3,90,,1638,313,19,2022-04-01,2023-03-31
050243,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,CA,92262,RIVERSIDE,(760) 323-6511,93,5,2,96,86,11,3,92,83,11,6,92,79,16,5,91,,1728,334,19,2022-04-01,2023-03-31
050245,ARROWHEAD REGIONAL MEDICAL CENTER,400 NORTH PEPPER AVENUE,COLTON,CA,92324,SAN BERNARDINO,(909) 580-1000,92,7,1,96,91,8,1,95,83,13,4,93,74,20,6,88,,1652,134,9,2022-04-01,2023-03-31
050261,SIERRA VIEW MEDICAL CENTER,465 W PUTNAM AVE,PORTERVILLE,CA,93257,TULARE,(559) 784-1110,95,4,1,97,88,9,3,92,85,12,3,93,74,23,3,90,,1914,448,24,2022-04-01,2023-03-31
050262,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,CA,90095,LOS ANGELES,(310) 825-6301,95,4,1,97,90,8,2,94,91,8,1,96,92,7,1,97,,1928,377,20,2022-04-01,2023-03-31
050276,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,CONTRA COSTA,(925) 370-5000,95,4,1,97,92,6,2,95,89,8,3,95,86,11,3,94,,1760,344,20,2022-04-01,2023-03-31
050278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,LOS ANGELES,(818) 365-8051,96,3,1,97,87,10,3,92,86,13,1,94,83,14,3,93,,2130,377,18,2022-04-01,2023-03-31
050279,HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,JOSHUA TREE,CA,92252,SAN BERNARDINO,(760) 366-3711,94,4,2,96,81,14,5,88,70,16,14,88,61,35,4,85,3,340,71,21,2022-04-01,2023-03-31
050281,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,CA,91801,LOS ANGELES,(626) 570-1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050289,AHMC SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,CA,94015,SAN MATEO,(650) 992-4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;5,NA,NA,NA,NA,NA
050290,SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,CA,90404,LOS ANGELES,(310) 829-5511,97,2,1,98,90,8,2,94,90,9,1,96,87,11,2,94,,1608,367,23,2022-04-01,2023-03-31
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,26520 CACTUS AVENUE,MORENO VALLEY,CA,92555,RIVERSIDE,(951) 486-4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050300,ST MARY MEDICAL CENTER,18300 HIGHWAY 18,APPLE VALLEY,CA,92307,SAN BERNARDINO,(760) 242-2311,96,4,0,98,87,10,3,92,85,13,2,94,81,16,3,92,,3248,606,19,2022-04-01,2023-03-31
050308,EL CAMINO HOSPITAL,2500 GRANT ROAD,MOUNTAIN VIEW,CA,94040,SANTA CLARA,(650) 940-7000,97,2,1,98,89,9,2,93,84,14,2,94,87,12,1,95,,2470,832,34,2022-04-01,2023-03-31
050320,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,CA,94602,ALAMEDA,(510) 437-4800,92,7,1,95,87,10,3,92,81,13,6,91,77,16,7,89,,3439,302,10,2022-04-01,2023-03-31
050324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,CA,92037,SAN DIEGO,(858) 626-4123,96,4,0,98,89,8,3,93,87,11,2,94,87,11,2,95,,9356,2121,24,2022-04-01,2023-03-31
050329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,CA,92882,RIVERSIDE,(951) 737-4343,97,2,1,98,89,8,3,93,86,12,2,94,82,16,2,93,,1995,465,23,2022-04-01,2023-03-31
050351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,LOS ANGELES,(310) 325-9110,97,3,0,98,89,9,2,94,91,7,2,96,89,10,1,96,,3199,901,28,2022-04-01,2023-03-31
050353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4101 TORRANCE BLVD,TORRANCE,CA,90503,LOS ANGELES,(310) 540-7676,96,4,0,98,87,11,2,92,87,10,3,94,81,16,3,92,,1771,385,22,2022-04-01,2023-03-31
050357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,CA,93111,SANTA BARBARA,(805) 967-3411,98,2,0,99,90,8,2,94,91,7,2,96,92,7,1,97,,1920,782,41,2022-04-01,2023-03-31
050373,LAC+USC MEDICAL CENTER,"1200 N STATE ST, ROOM C2K100",LOS ANGELES,CA,90033,LOS ANGELES,(323) 226-2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050390,HEMET GLOBAL MEDICAL CENTER,1117 EAST DEVONSHIRE,HEMET,CA,92543,RIVERSIDE,(951) 652-2811,90,9,1,95,84,11,5,89,73,20,7,88,61,32,7,84,,2557,339,13,2022-04-01,2023-03-31
050394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,147 N BRENT ST,VENTURA,CA,93003,VENTURA,(805) 652-5011,95,5,0,97,90,8,2,94,86,12,2,94,87,12,1,95,,2185,603,28,2022-04-01,2023-03-31
050396,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,SANTA BARBARA,CA,93102,SANTA BARBARA,(805) 682-7111,97,3,0,98,88,10,2,93,89,9,2,95,92,7,1,97,,2875,913,32,2022-04-01,2023-03-31
050411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 SOUTH VERMONT AVENUE,HARBOR CITY,CA,90710,LOS ANGELES,(310) 325-5111,97,3,0,98,94,5,1,96,92,7,1,96,88,10,2,95,,6682,1886,28,2022-04-01,2023-03-31
050424,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,SAN DIEGO,(858) 455-9100,95,4,1,97,91,7,2,94,83,15,2,93,86,13,1,94,,3035,818,27,2022-04-01,2023-03-31
050425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA,95825,SACRAMENTO,(916) 973-5000,96,3,1,98,92,6,2,95,84,13,3,93,83,14,3,93,,4956,1870,38,2022-04-01,2023-03-31
050438,HUNTINGTON HOSPITAL,100 W CALIFORNIA BLVD,PASADENA,CA,91109,LOS ANGELES,(626) 397-5000,97,2,1,98,90,8,2,94,92,6,2,96,89,8,3,95,,2091,384,26,2022-04-01,2023-03-31
050464,DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,MODESTO,CA,95350,STANISLAUS,(209) 578-1211,90,8,2,94,78,15,7,86,71,22,7,89,65,29,6,86,,1823,388,21,2022-04-01,2023-03-31
050485,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVE,LONG BEACH,CA,90806,LOS ANGELES,(562) 933-2000,95,4,1,97,89,9,2,94,85,12,3,93,83,14,3,93,,3995,283,27,2022-04-01,2023-03-31
050496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CA,94520,CONTRA COSTA,(925) 682-8200,96,3,1,98,88,8,4,92,86,10,4,93,85,12,3,93,,933,303,32,2022-04-01,2023-03-31
050503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,SAN DIEGO,(760) 753-6501,96,3,1,98,89,9,2,93,88,10,2,95,87,12,1,95,,3735,944,25,2022-04-01,2023-03-31
050506,TENET HEALTH CENTRAL COAST SIERRA VISTA RMC,1010 MURRAY AVENUE,SAN LUIS OBISPO,CA,93405,SAN LUIS OBISPO,(805) 546-7600,94,5,1,96,86,11,3,91,75,20,5,90,74,22,4,89,,1860,501,27,2022-04-01,2023-03-31
050510,KAISER FOUNDATION HOSPITAL,99 MONTECILLO RD,SAN RAFAEL,CA,94903,MARIN,(415) 444-2000,94,5,1,97,91,7,2,95,79,17,4,92,80,17,3,92,,2055,859,42,2022-04-01,2023-03-31
050512,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,FREMONT,CA,94538,ALAMEDA,(510) 784-4000,96,4,0,98,91,8,1,95,85,13,2,94,83,14,3,93,,2837,924,33,2022-04-01,2023-03-31
050515,KAISER FOUNDATION HOSPITAL - SAN DIEGO,4647 ZION AVE,SAN DIEGO,CA,92120,SAN DIEGO,(619) 528-5000,97,3,0,98,93,6,1,96,89,9,2,95,87,11,2,94,,12493,4541,36,2022-04-01,2023-03-31
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,15248 11TH ST,VICTORVILLE,CA,92392,SAN BERNARDINO,(760) 245-8691,91,6,3,94,84,11,5,89,72,16,12,87,65,26,9,84,,2979,363,12,2022-04-01,2023-03-31
050534,JOHN F KENNEDY MEMORIAL HOSPITAL,47111 MONROE STREET,INDIO,CA,92201,RIVERSIDE,(760) 347-6191,93,5,2,96,84,11,5,89,71,21,8,88,61,31,8,83,,1874,298,16,2022-04-01,2023-03-31
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1100 VETERANS BOULEVARD,REDWOOD CITY,CA,94063,SAN MATEO,(650) 299-2000,98,2,0,99,92,7,1,95,92,7,1,96,89,9,2,95,,3898,1302,33,2022-04-01,2023-03-31
050551,LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVENUE,LOS ALAMITOS,CA,90720,ORANGE,(562) 799-3220,94,5,1,97,85,12,3,91,77,19,4,91,74,23,3,90,,1965,597,30,2022-04-01,2023-03-31
050561,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVE,LOS ANGELES,CA,90034,LOS ANGELES,(213) 857-2201,96,3,1,98,93,6,1,96,89,9,2,95,86,12,2,94,,3057,773,25,2022-04-01,2023-03-31
050567,PROVIDENCE MISSION HOSPITAL,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,(949) 364-1400,98,2,0,99,92,7,1,95,92,7,1,97,92,7,1,97,,6347,1470,23,2022-04-01,2023-03-31
050568,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,CA,93637,MADERA,(559) 675-5555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
050570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,17100 EUCLID STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,(714) 966-7200,92,6,2,95,85,11,4,90,79,16,5,91,70,20,10,85,,1453,255,18,2022-04-01,2023-03-31
050581,LAKEWOOD REGIONAL MEDICAL CENTER,3700 SOUTH ST,LAKEWOOD,CA,90712,LOS ANGELES,(562) 602-6751,93,6,1,96,84,12,4,90,74,21,5,90,69,27,4,87,,1853,384,21,2022-04-01,2023-03-31
050589,PLACENTIA LINDA HOSPITAL,1301 N ROSE DRIVE,PLACENTIA,CA,92870,ORANGE,(714) 993-2000,97,3,0,99,90,8,2,94,84,14,2,94,82,16,2,93,,1791,452,25,2022-04-01,2023-03-31
050599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA,95817,SACRAMENTO,(916) 734-2011,97,2,1,98,93,6,1,96,89,9,2,95,89,9,2,95,,8526,2101,25,2022-04-01,2023-03-31
050603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,CA,92653,ORANGE,(949) 837-4500,96,4,0,98,86,10,4,91,84,11,5,93,82,16,2,93,,5126,229,30,2022-04-01,2023-03-31
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,250 HOSPITAL PARKWAY,SAN JOSE,CA,95119,SANTA CLARA,(408) 972-7000,95,4,1,97,91,7,2,94,84,13,3,93,83,14,3,93,,5583,1794,32,2022-04-01,2023-03-31
050609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,3440 E LA PALMA AVE,ANAHEIM,CA,92806,ORANGE,(714) 279-4000,96,3,1,98,93,6,1,96,90,8,2,95,87,11,2,95,,11040,3413,31,2022-04-01,2023-03-31
050633,TENET HEALTH CENTRAL TWIN CITIES COMMUNITY HOSP,1100 LAS TABLAS RD,TEMPLETON,CA,93465,SAN LUIS OBISPO,(805) 434-3500,97,3,0,98,89,9,2,94,80,17,3,92,74,24,2,90,,1266,351,28,2022-04-01,2023-03-31
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,(323) 865-3000,96,3,1,98,90,9,1,94,87,10,3,94,86,11,3,93,,1743,388,22,2022-04-01,2023-03-31
050674,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,SACRAMENTO,CA,95823,SACRAMENTO,(916) 688-2000,98,2,0,99,92,6,2,95,89,9,2,95,85,12,3,94,,2978,818,28,2022-04-01,2023-03-31
050677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,5601 DE SOTO AVENUE,WOODLAND HILLS,CA,91367,LOS ANGELES,(818) 719-3800,97,3,0,98,92,7,1,96,89,10,1,96,86,12,2,94,,3637,1274,35,2022-04-01,2023-03-31
050678,MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVENUE,FOUNTAIN VALLEY,CA,92708,ORANGE,(714) 378-7406,96,4,0,98,88,10,2,93,84,12,4,93,83,13,4,92,,4679,344,27,2022-04-01,2023-03-31
050684,MENIFEE GLOBAL MEDICAL CENTER,28400 MCCALL BOULEVARD,SUN CITY,CA,92585,RIVERSIDE,(951) 679-8888,93,7,0,97,75,14,11,82,66,31,3,88,66,25,9,83,3,590,36,6,2022-04-01,2023-03-31
