fiscal_year,facility_id,facility_name,address,city_town,state,zip_code,county_parish,mort_30_ami_achievement_threshold,mort_30_ami_benchmark,mort_30_ami_baseline_rate,mort_30_ami_performance_rate,mort_30_ami_achievement_points,mort_30_ami_achievement_points_base,mort_30_ami_improvement_points,mort_30_ami_improvement_points_base,mort_30_ami_measure_score,mort_30_ami_measure_score_base,mort_30_hf_achievement_threshold,mort_30_hf_benchmark,mort_30_hf_baseline_rate,mort_30_hf_performance_rate,mort_30_hf_achievement_points,mort_30_hf_achievement_points_base,mort_30_hf_improvement_points,mort_30_hf_improvement_points_base,mort_30_hf_measure_score,mort_30_hf_measure_score_base,mort_30_pn_achievement_threshold,mort_30_pn_benchmark,mort_30_pn_baseline_rate,mort_30_pn_performance_rate,mort_30_copd_achievement_threshold,mort_30_copd_benchmark,mort_30_copd_baseline_rate,mort_30_copd_performance_rate,mort_30_copd_achievement_points,mort_30_copd_achievement_points_base,mort_30_copd_improvement_points,mort_30_copd_improvement_points_base,mort_30_copd_measure_score,mort_30_copd_measure_score_base,mort_30_cabg_achievement_threshold,mort_30_cabg_benchmark,mort_30_cabg_baseline_rate,mort_30_cabg_performance_rate,mort_30_cabg_achievement_points,mort_30_cabg_achievement_points_base,mort_30_cabg_improvement_points,mort_30_cabg_improvement_points_base,mort_30_cabg_measure_score,mort_30_cabg_measure_score_base,comp_hip_knee_achievement_threshold,comp_hip_knee_benchmark,comp_hip_knee_baseline_rate,comp_hip_knee_performance_rate,comp_hip_knee_achievement_points,comp_hip_knee_achievement_points_base,comp_hip_knee_improvement_points,comp_hip_knee_improvement_points_base,comp_hip_knee_measure_score,comp_hip_knee_measure_score_base
2023,050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,0.866548,0.885499,0.866713,0.882555,8,out of 10,8,out of 9,8,out of 10,0.881939,0.906798,0.875802,0.898652,7,out of 10,7,out of 9,7,out of 10,0.840138,0.871741,0.817839,0.831099,0.919769,0.936349,0.892409,0.91248,0,out of 10,4,out of 9,4,out of 10,0.968747,0.97962,0.963418,0.966844,0,out of 10,2,out of 9,2,out of 10,0.027428,0.019779,0.019535,0.0149,10,out of 10,9,out of 9,10,out of 10
2023,050028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.887105,0.879735,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.830634,0.820107,0.919769,0.936349,0.900327,0.919729,0,out of 10,5,out of 9,5,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST,BAKERSFIELD,CA,93301,KERN,0.866548,0.885499,0.857537,0.854493,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.858858,0.847836,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.815135,0.805698,0.919769,0.936349,0.909709,0.879519,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.968532,0.967825,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.026873,0.023343,5,out of 10,4,out of 9,5,out of 10
2023,050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,0.866548,0.885499,0.869067,0.878088,6,out of 10,5,out of 9,6,out of 10,0.881939,0.906798,0.898666,0.901648,8,out of 10,3,out of 9,8,out of 10,0.840138,0.871741,0.797711,0.828767,0.919769,0.936349,0.920566,0.913745,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,0.967064,0,out of 10,NA,NA,0,out of 10,0.027428,0.019779,NA,0.028602,0,out of 10,NA,NA,0,out of 10
2023,050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,0.866548,0.885499,0.846087,0.857481,0,out of 10,2,out of 9,2,out of 10,0.881939,0.906798,0.87686,0.880906,0,out of 10,1,out of 9,1,out of 10,0.840138,0.871741,0.814831,0.81159,0.919769,0.936349,0.93612,0.92868,5,out of 10,0,out of 9,5,out of 10,0.968747,0.97962,0.968011,0.960033,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.028683,0.022741,6,out of 10,6,out of 9,6,out of 10
2023,050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.879831,0.901317,8,out of 10,7,out of 9,8,out of 10,0.840138,0.871741,0.832669,0.821612,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050042,ST ELIZABETH COMMUNITY HOSPITAL,2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,CA,96080,TEHAMA,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.858942,0.868344,0,out of 10,1,out of 9,1,out of 10,0.840138,0.871741,0.812283,0.845973,0.919769,0.936349,0.886315,0.908659,0,out of 10,4,out of 9,4,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.026866,0.021652,7,out of 10,7,out of 9,7,out of 10
2023,050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,0.866548,0.885499,0.872886,0.891609,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.908544,0.901951,8,out of 10,0,out of 9,8,out of 10,0.840138,0.871741,0.840935,0.808976,0.919769,0.936349,0.92066,0.914783,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.975209,0.977006,7,out of 10,4,out of 9,7,out of 10,0.027428,0.019779,0.032744,0.023608,5,out of 10,7,out of 9,7,out of 10
2023,050045,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,EL CENTRO,CA,92243,IMPERIAL,0.866548,0.885499,0.86366,0.877929,6,out of 10,6,out of 9,6,out of 10,0.881939,0.906798,0.884611,0.8749,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.832488,0.824414,0.919769,0.936349,0.911422,0.91548,0,out of 10,1,out of 9,1,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.02526,0.024011,5,out of 10,2,out of 9,5,out of 10
2023,050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,0.866548,0.885499,0.880857,0.889246,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.904479,0.886882,2,out of 10,0,out of 9,2,out of 10,0.840138,0.871741,0.84515,0.834975,0.919769,0.936349,0.930655,0.917011,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.964505,0.971119,2,out of 10,4,out of 9,4,out of 10,0.027428,0.019779,0.027738,0.02329,5,out of 10,5,out of 9,5,out of 10
2023,050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,0.866548,0.885499,0.860825,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.894036,0.887186,2,out of 10,0,out of 9,2,out of 10,0.840138,0.871741,0.808124,0.830508,0.919769,0.936349,0.91728,0.907285,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.025786,NA,NA,NA,NA,NA,NA,NA
2023,050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,3555 CESAR CHAVEZ,SAN FRANCISCO,CA,94110,SAN FRANCISCO,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.892439,0.902924,8,out of 10,7,out of 9,8,out of 10,0.840138,0.871741,0.862047,0.844487,0.919769,0.936349,0.926917,0.923384,2,out of 10,0,out of 9,2,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.030083,0.022387,6,out of 10,7,out of 9,7,out of 10
2023,050056,ANTELOPE VALLEY HOSPITAL,1600 W AVE J,LANCASTER,CA,93534,LOS ANGELES,0.866548,0.885499,0.862888,0.877558,6,out of 10,6,out of 9,6,out of 10,0.881939,0.906798,0.886717,0.882574,1,out of 10,0,out of 9,1,out of 10,0.840138,0.871741,0.787063,0.796258,0.919769,0.936349,0.902239,0.884494,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.028157,0.021684,7,out of 10,7,out of 9,7,out of 10
2023,050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,0.866548,0.885499,0.876957,0.857747,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.873549,0.863761,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.829445,0.828294,0.919769,0.936349,0.904652,0.91247,0,out of 10,2,out of 9,2,out of 10,0.968747,0.97962,0.978518,0.974486,5,out of 10,0,out of 9,5,out of 10,0.027428,0.019779,0.023136,0.023423,5,out of 10,0,out of 9,5,out of 10
2023,050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,0.866548,0.885499,0.860534,0.872918,4,out of 10,4,out of 9,4,out of 10,0.881939,0.906798,0.910319,0.91202,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.860867,0.85527,0.919769,0.936349,0.926236,0.919443,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.961969,0.975925,6,out of 10,7,out of 9,7,out of 10,0.027428,0.019779,0.02446,0.021452,8,out of 10,6,out of 9,8,out of 10
2023,050060,COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO STREET,FRESNO,CA,93721,FRESNO,0.866548,0.885499,0.89269,0.871232,3,out of 10,0,out of 9,3,out of 10,0.881939,0.906798,0.878284,0.874109,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.840805,0.80482,0.919769,0.936349,0.90067,0.911512,0,out of 10,3,out of 9,3,out of 10,0.968747,0.97962,0.973768,0.97763,8,out of 10,6,out of 9,8,out of 10,0.027428,0.019779,0.033076,NA,NA,NA,NA,NA,NA,NA
2023,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,0.866548,0.885499,0.870296,0.893817,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.907689,0.904659,9,out of 10,0,out of 9,9,out of 10,0.840138,0.871741,0.877978,0.852518,0.919769,0.936349,0.920482,0.925386,4,out of 10,3,out of 9,4,out of 10,0.968747,0.97962,0.971263,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.02648,0.023266,5,out of 10,4,out of 9,5,out of 10
2023,050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,0.866548,0.885499,0.868597,0.887458,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.865022,0.884266,1,out of 10,4,out of 9,4,out of 10,0.840138,0.871741,0.803478,0.855003,0.919769,0.936349,0.917096,0.908578,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.960855,0.972292,3,out of 10,6,out of 9,6,out of 10,0.027428,0.019779,0.02408,0.021878,7,out of 10,5,out of 9,7,out of 10
2023,050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,0.866548,0.885499,0.869642,0.876246,5,out of 10,4,out of 9,5,out of 10,0.881939,0.906798,0.884379,0.890079,3,out of 10,2,out of 9,3,out of 10,0.840138,0.871741,0.83605,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,0.866548,0.885499,0.868648,0.876447,5,out of 10,4,out of 9,5,out of 10,0.881939,0.906798,0.88019,0.88805,3,out of 10,2,out of 9,3,out of 10,0.840138,0.871741,0.841374,0.821403,0.919769,0.936349,0.917352,0.898757,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,NA,NA,NA,NA,NA,NA,NA,NA,0.840138,0.871741,NA,NA,0.919769,0.936349,NA,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.880248,0.864245,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.856431,0.814934,0.919769,0.936349,0.917898,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.03583,NA,NA,NA,NA,NA,NA,NA
2023,050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA,93030,VENTURA,0.866548,0.885499,0.873295,0.879185,7,out of 10,4,out of 9,7,out of 10,0.881939,0.906798,0.899091,0.897369,6,out of 10,0,out of 9,6,out of 10,0.840138,0.871741,0.834591,0.839766,0.919769,0.936349,0.92127,0.92707,4,out of 10,3,out of 9,4,out of 10,0.968747,0.97962,0.974175,0.960497,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.021597,0.022628,6,out of 10,0,out of 9,6,out of 10
2023,050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,0.866548,0.885499,0.860935,0.865815,0,out of 10,1,out of 9,1,out of 10,0.881939,0.906798,0.904086,0.900379,7,out of 10,0,out of 9,7,out of 10,0.840138,0.871741,0.822301,0.837886,0.919769,0.936349,0.893308,0.921259,1,out of 10,6,out of 9,6,out of 10,0.968747,0.97962,0.953441,0.966173,0,out of 10,4,out of 9,4,out of 10,0.027428,0.019779,0.027296,0.0268,1,out of 10,0,out of 9,1,out of 10
2023,050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.878717,0.880161,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.838159,0.832209,0.919769,0.936349,0.915223,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.02736,0.033904,0,out of 10,0,out of 9,0,out of 10
2023,050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,HUNTINGTON PARK,CA,90255,LOS ANGELES,0.866548,0.885499,0.873452,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.888204,0.894793,5,out of 10,3,out of 9,5,out of 10,0.840138,0.871741,0.857835,0.839937,0.919769,0.936349,0.923049,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,NA,NA,NA,NA,NA,NA,NA
2023,050093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,FRESNO,0.866548,0.885499,0.862741,0.866061,0,out of 10,1,out of 9,1,out of 10,0.881939,0.906798,0.861484,0.892601,4,out of 10,6,out of 9,6,out of 10,0.840138,0.871741,0.80337,0.820131,0.919769,0.936349,0.91795,0.909946,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.973177,0.957305,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.025805,0.03008,0,out of 10,0,out of 9,0,out of 10
2023,050099,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,SAN BERNARDINO,0.866548,0.885499,0.882052,0.8879,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.892152,0.909585,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.851736,0.867045,0.919769,0.936349,0.915788,0.90102,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.968707,0.977636,8,out of 10,8,out of 9,8,out of 10,0.027428,0.019779,0.034393,0.027514,0,out of 10,4,out of 9,4,out of 10
2023,050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,0.866548,0.885499,0.848947,0.859269,0,out of 10,2,out of 9,2,out of 10,0.881939,0.906798,0.869486,0.897363,6,out of 10,7,out of 9,7,out of 10,0.840138,0.871741,0.838071,0.847894,0.919769,0.936349,0.916681,0.912713,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.973263,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.021492,0.024134,4,out of 10,0,out of 9,4,out of 10
2023,050101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,0.866548,0.885499,0.860662,0.85618,0,out of 10,0,out of 9,0,out of 10,0.881939,0.906798,0.872755,0.890252,4,out of 10,5,out of 9,5,out of 10,0.840138,0.871741,0.832937,0.805185,0.919769,0.936349,0.915179,0.907922,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.040257,0.036005,0,out of 10,2,out of 9,2,out of 10
